,muni_code,muni_name,rmse,r2,sum_sale
0,165,Albertslund,3370.2301272675863,-2.286111782304349,7307
1,201,Allerød,2771.5524511370736,-0.1809637727443711,11549
2,151,Ballerup,4833.264102821407,-2.7010506746382847,12212
3,400,Bornholm,2289.2947530827287,-2.041578135441196,22467
4,153,Brøndby,3687.5705754638057,-1.1772969990929925,7629
5,155,Dragør,6685.291429355577,-2.2142493223319204,7403
6,240,Egedal,5683.312393361071,-4.589236324654372,21481
7,210,Fredensborg,1672.7994562061656,0.7582933763658386,20743
8,147,Frederiksberg,15395.673796287714,-6.176754332403825,43887
9,250,Frederikssund,5561.967010074041,-3.1853839028028856,20084
10,190,Furesø,7477.418245983392,-8.321405220397478,17025
11,157,Gentofte,6976.118257816893,-0.3870853486312406,42498
12,159,Gladsaxe,4268.518529578696,-0.1255136560432961,25990
13,161,Glostrup,7084.469055917549,-4.080208005073745,7800
14,270,Gribskov,1565.2349747692654,0.5431343490752236,19334
15,260,Halsnæs,5175.8337969186405,-3.5659481801551323,14629
16,217,Helsingør,10197.03090203748,-23.64452522462427,30339
17,163,Herlev,12820.03496333645,-19.333918081051376,6832
18,219,Hillerød,3784.6816160892663,-1.2954563106711054,22629
19,167,Hvidovre,4883.654672397983,-2.030383301914402,17952
20,169,Høje-Taastrup,1517.9286558865583,0.6699996531752206,25541
21,223,Hørsholm,3015.17035903065,0.1181623635964707,13433
22,183,Ishøj,6440.028195305798,-10.541719304214634,8716
23,101,København,7697.458651597923,-2.705158322897919,221541
24,173,Lyngby-Taarbæk,6193.26443046022,-1.1073667590239844,24232
25,230,Rudersdal,4228.36955164763,-0.4030682668169671,29819
26,175,Rødovre,11567.523998139175,-11.085656751421515,15476
27,185,Tårnby,3796.577735037119,-0.1764190101941503,16855
28,187,Vallensbæk,3110.9339906206146,-0.3457372994164907,9311
29,320,Faxe,4715.187894550997,-2.8966446316850485,18273
30,253,Greve,2821.044007509244,0.1249186459741887,22110
31,376,Guldborgsund,1866.912343978564,-2.4092882680829373,33751
32,316,Holbæk,2698.579275823296,0.3871026863770738,31011
33,326,Kalundborg,4411.94567618254,-14.811973477939164,24120
34,259,Køge,3571.0459940238607,-0.3793112307958752,25533
35,350,Lejre,3941.161150376955,-0.658757686296189,12193
36,360,Lolland,1035.4879014372257,0.1260948874403544,25250
37,370,Næstved,2946.4176368511053,-1.1865787816654287,40568
38,306,Odsherred,1442.479581415041,0.2761117631880551,16127
39,329,Ringsted,14503.16322996552,-33.58746142633713,15423
40,265,Roskilde,5564.050825757997,-2.1610864899336137,39733
41,330,Slagelse,3137.6576767466263,-3.536124578815394,34626
42,269,Solrød,2393.3221241579868,0.3686475937107922,13063
43,340,Sorø,6844.806380148588,-11.448112981601438,14473
44,336,Stevns,3083.151024667572,-0.815179781790933,11740
45,390,Vordingborg,1339.4749246486394,0.0267360586310354,24746
46,420,Assens,1498.2379982108496,-0.8423737810846046,20421
47,530,Billund,1901.595244581232,-0.7227393634820105,12531
48,561,Esbjerg,1134.6500327188692,0.6130596438639303,48803
49,563,Fanø,2802.8882302342336,-0.0003291050647413,1976
50,607,Fredericia,4042.976508573408,-26.1339799416312,20868
51,430,Faaborg-Midtfyn,1606.3234318612274,-1.522896914579373,24727
52,510,Haderslev,987.3493754165831,0.4623480801051134,22389
53,440,Kerteminde,2379.1857565317982,0.2885019150231275,9615
54,621,Kolding,2477.9817648618523,-1.4784519359738968,39977
55,482,Langeland,1799.2497676995386,-0.3048492660552009,9131
56,410,Middelfart,3773.249882559979,-1.0361429890482785,18884
57,480,Nordfyns,1686.0420327715856,0.2229247551440334,14533
58,450,Nyborg,2318.9995180889478,-3.033897217424704,14308
59,461,Odense,2401.174579157804,-0.2602757732768808,76584
60,479,Svendborg,2084.061254052907,-0.7964638835896276,26375
61,540,Sønderborg,749.7574012980352,0.76576503001287,29049
62,550,Tønder,1337.9348191909655,-0.271479769888342,17284
63,573,Varde,1551.2453966785863,-1.25402680767926,22528
64,575,Vejen,1110.3288814793366,-0.087737542497583,19846
65,630,Vejle,2083.429737433385,-0.0682208088032221,48201
66,492,Ærø,1515.675557540126,0.068332249646318,5446
67,580,Aabenraa,1825.5777115188748,-3.1366088494112825,25498
68,710,Favrskov,3802.175543720218,-2.120770719408199,23309
69,766,Hedensted,1809.0841240189504,-0.4368607117985854,24986
70,657,Herning,1503.6997807834284,0.3236252192381597,38029
71,661,Holstebro,1509.2708603327287,0.2914936497119512,28108
72,615,Horsens,9894.583268124456,-36.08024224705495,40915
73,756,Ikast-Brande,1465.64489193954,-0.07731518807529,19913
74,665,Lemvig,1113.7505047241873,-0.1297074252042709,9976
75,707,Norddjurs,1635.0279706407523,-0.9625648157991288,18170
76,727,Odder,3677.471184846477,-5.834596688573762,11300
77,730,Randers,2040.7667216498824,-0.0998478987179507,47633
78,760,Ringkøbing-Skjern,1114.8446215453027,0.0021767064725707,26939
79,741,Samsø,2548.822822809415,-1.2475926735664986,3330
80,740,Silkeborg,1495.708708416773,0.7132882969060659,40423
81,746,Skanderborg,2800.3784343476245,-0.2223926679788097,30576
82,779,Skive,746.4312453570873,0.4668362508221766,19750
83,671,Struer,1529.1999149369533,-0.3645704317869824,10029
84,706,Syddjurs,1771.877113878934,0.1693865607426792,21363
85,791,Viborg,1617.9017933774614,0.033512902531271,43282
86,751,Aarhus,3231.229545977661,0.4844887647113944,138594
87,810,Brønderslev,2202.9171145773244,-8.430265522680646,16920
88,813,Frederikshavn,1589.1377986135697,-0.4782714960937697,27886
89,860,Hjørring,4089.8396379549695,-9.092662961378547,31418
90,849,Jammerbugt,2723.1980062227203,-1.0925077201584683,20753
91,825,Læsø,2477.0132758333025,-1.9191242742604664,1409
92,846,Mariagerfjord,1221.308182110702,0.0824558069087257,19694
93,773,Morsø,1146.3747725493188,0.0661768139828554,10768
94,840,Rebild,1551.510962644324,0.0490185047386709,14246
95,787,Thisted,1032.984204004851,-0.1881358544898472,22492
96,820,Vesthimmerlands,1150.5643063369846,-0.3008123791464101,17290
97,851,Aalborg,1595.8263139746243,0.553580451302499,93744
